iter	RMSE
0	0.8073742808
1	0.790019324
2	0.777400177
3	0.7655847464
4	0.7545657972
5	0.74409362
6	0.7340330019
7	0.7249358671
8	0.7172833145
9	0.7102712506
10	0.7027011635
11	0.6974560963
12	0.6919663619
13	0.6869960289
14	0.6829029646
15	0.6787927296
16	0.6741209057
17	0.6710275668
18	0.668254307
19	0.664973681
20	0.6618074262
21	0.6592702293
22	0.6559092543
23	0.6531417593
24	0.651022079
25	0.6484721022
26	0.6457237035
27	0.6434983408
28	0.6409254986
29	0.6386563521
30	0.6372795332
31	0.6358134557
32	0.6330043957
33	0.6313931719
34	0.6293531809
35	0.6271775505
36	0.6251010833
37	0.6236055076
38	0.6215170821
39	0.6195189529
40	0.6184171832
41	0.6165695329
42	0.6152130816
43	0.6132452954
44	0.6119862173
45	0.6104218981
46	0.6095507158
47	0.6083349096
48	0.6071358795
49	0.6055077734
50	0.6044518401
51	0.6031526971
52	0.6019244272
53	0.601057007
54	0.6000449299
55	0.5988845463
56	0.5978066122
57	0.5965190128
58	0.5951927307
59	0.5939358079
60	0.5931963362
61	0.5913345348
62	0.5904539385
63	0.5885221586
64	0.5875668977
65	0.5868626027
66	0.5854441112
67	0.5833256845
68	0.5821917179
69	0.5811723537
70	0.5796755838
71	0.5784368703
72	0.5771517263
73	0.5764292367
74	0.5754915956
75	0.5744331401
76	0.573485106
77	0.5725091991
78	0.5710128491
79	0.5701370408
80	0.5694027515
81	0.5686608816
82	0.567814329
83	0.5669672356
84	0.5659187016
85	0.5651758026
86	0.5641356314
87	0.5627982381
88	0.562160998
89	0.5614441628
90	0.5608486506
91	0.5600208181
92	0.5592757697
93	0.5583090192
94	0.5573473091
95	0.5566929247
96	0.5560716513
97	0.5553465578
98	0.553993704
99	0.5524589883
100	0.5518312543
101	0.550444981
102	0.5496552621
103	0.5487580652
104	0.5478653022
105	0.5470160367
106	0.545933272
107	0.5447844575
108	0.5436287251
109	0.542985328
110	0.5424940149
111	0.5415881681
112	0.5407049146
113	0.5401805592
114	0.539452363
115	0.5388997126
116	0.5383412107
117	0.5374356384
118	0.5365433035
119	0.5359295049
120	0.5353207849
121	0.5347118488
122	0.5336107381
123	0.5325171668
124	0.5319018138
125	0.5310397532
126	0.5300788687
127	0.5293146991
128	0.5278066905
129	0.526919896
130	0.5261723563
131	0.5253270257
132	0.5246342293
133	0.5236802128
134	0.5226729953
135	0.5220340262
136	0.5213431442
137	0.5205671362
138	0.5198311345
139	0.5190386627
140	0.5181997774
141	0.5170046774
142	0.5156200078
143	0.5151298323
144	0.5139459143
145	0.5135055447
146	0.5122866364
147	0.51142657
148	0.5104211842
149	0.5098043503
150	0.5093957278
151	0.508470207
152	0.5079709934
153	0.5072741603
154	0.5063602705
155	0.5054444121
156	0.5042474315
157	0.5036203596
158	0.502978421
159	0.5024983481
160	0.5013367978
161	0.5005336157
162	0.4998390859
163	0.4993007905
164	0.4984734471
165	0.4979175262
166	0.4975336435
167	0.4972317391
168	0.4966898265
169	0.4957628386
170	0.4948882311
171	0.4942569085
172	0.4932931336
173	0.492049846
174	0.4915014675
175	0.4910053004
176	0.4900945553
177	0.4896874026
178	0.4888784298
179	0.4886293237
180	0.4880800552
181	0.4874189458
182	0.4868676835
183	0.4860716157
184	0.4856542351
185	0.4851632697
186	0.4845291287
187	0.4837926966
188	0.4828052944
189	0.4823524477
190	0.4812470878
191	0.4807321959
192	0.4801854686
193	0.4795030162
194	0.4788322852
195	0.4773607749
196	0.4769584475
197	0.4765657492
198	0.4759677781
199	0.4749711279
