iter	Passed	Remaining
0	152	30305
1	158	15652
2	164	10789
3	169	8324
4	174	6801
5	180	5820
6	184	5091
7	189	4546
8	194	4124
9	199	3781
10	203	3501
11	208	3266
12	213	3067
13	218	2898
14	225	2783
15	231	2661
16	236	2544
17	241	2441
18	246	2348
19	251	2261
20	255	2180
21	260	2111
22	265	2044
23	270	1982
24	275	1927
25	280	1875
26	285	1827
27	290	1784
28	295	1742
29	300	1703
30	307	1679
31	314	1650
32	321	1626
33	327	1598
34	334	1576
35	346	1578
36	352	1553
37	359	1532
38	364	1504
39	372	1491
40	380	1476
41	393	1479
42	399	1458
43	405	1438
44	410	1412
45	415	1392
46	421	1370
47	425	1347
48	431	1328
49	438	1316
50	443	1295
51	450	1280
52	454	1261
53	459	1242
54	466	1228
55	471	1211
56	476	1194
57	487	1192
58	498	1191
59	506	1181
60	513	1169
61	519	1156
62	528	1150
63	535	1137
64	543	1129
65	550	1118
66	569	1131
67	577	1121
68	584	1109
69	592	1101
70	599	1088
71	608	1081
72	612	1066
73	623	1061
74	628	1047
75	636	1039
76	641	1024
77	646	1010
78	655	1003
79	661	992
80	672	988
81	679	977
82	687	969
83	694	958
84	702	949
85	708	938
86	715	929
87	721	918
88	726	905
89	733	895
90	737	883
91	742	871
92	749	861
93	753	849
94	757	837
95	764	828
96	769	816
97	773	805
98	779	795
99	784	784
100	788	773
101	798	766
102	805	758
103	813	751
104	818	740
105	822	729
106	828	720
107	833	709
108	837	699
109	844	690
110	848	680
111	853	670
112	859	661
113	864	651
114	868	642
115	878	636
116	885	628
117	895	622
118	905	616
119	913	609
120	921	601
121	928	593
122	937	587
123	944	579
124	955	573
125	963	566
126	971	558
127	978	550
128	984	542
129	991	533
130	997	525
131	1008	519
132	1017	512
133	1024	504
134	1030	496
135	1042	490
136	1051	483
137	1058	475
138	1067	468
139	1073	459
140	1079	451
141	1086	443
142	1092	435
143	1100	427
144	1106	419
145	1114	412
146	1120	403
147	1131	397
148	1137	389
149	1142	380
150	1150	373
151	1156	365
152	1164	357
153	1170	349
154	1179	342
155	1194	336
156	1202	329
157	1213	322
158	1221	315
159	1230	307
160	1240	300
161	1248	292
162	1258	285
163	1264	277
164	1272	269
165	1281	262
166	1287	254
167	1296	247
168	1303	239
169	1313	231
170	1320	224
171	1330	216
172	1338	208
173	1347	201
174	1353	193
175	1363	185
176	1369	178
177	1380	170
178	1386	162
179	1395	155
180	1401	147
181	1410	139
182	1417	131
183	1427	124
184	1434	116
185	1446	108
186	1452	100
187	1462	93
188	1468	85
189	1478	77
190	1487	70
191	1494	62
192	1503	54
193	1511	46
194	1521	39
195	1528	31
196	1538	23
197	1545	15
198	1556	7
199	1565	0
